feature,linear_weight,lasso_weight,ridge_weight,ensemble_weight,abs_target_correlation
job_keyword_count,0.18670353136322798,0.18578412718894335,0.18654820527851482,0.18634528794356206,0.8738238967661943
exclamation_count,0.027820618776788042,0.026608213287893222,0.027835357552854992,0.027421396539178754,0.19536132874047688
recruiting_keyword_count,0.025297001793212898,0.024207582845010806,0.025312659824632534,0.024939081487618742,0.4557617923657742
candidate_keyword_count,0.021404941647858132,0.02072249521435282,0.021451487123628703,0.021192974661946553,0.5598922310520803
business_keyword_count,0.029400319020660596,0.0014135439906342994,0.028019550966211865,0.01961113799250225,0.04225080714450961
non_job_signal_ratio,0.017244596067475887,0.009995495482175836,0.015879661649303607,0.014373251066318442,0.10516848875888933
punctuation_ratio,0.010801109164655676,0.008063454786404037,0.01080625928170816,0.009890274410922625,0.06293770419734582
body_length,0.010898298786030007,0.005418602154235193,0.010635693055930295,0.008984197998731833,0.08009913677067396
support_keyword_count,0.013580723458746495,0.0,0.012972805980887002,0.008851176479877832,0.13388973867397203
contains_date_like,0.006417924870617778,0.004810913424754307,0.006395466513283017,0.0058747682695517,0.13893254630732815
subject_length,0.0044656933621215695,0.003976639575370882,0.0044648306638233794,0.004302387867105277,0.02625263765198589
unique_word_ratio,0.004223615256054314,0.0030093983227453412,0.004190524592914511,0.003807846057238056,0.12777151054337224
attachment_hint,0.0033091457373469997,0.0019322787994125556,0.0033173998314602474,0.002852941456073267,0.012876163067328725
colon_count,0.002600925138274794,0.0006439811653736546,0.0026341368465822436,0.0019596810500768975,0.14042057363703864
avg_word_length,0.0026574343163161063,0.0,0.0025793462042582043,0.0017455935068581036,0.1302335343707808
currency_symbol_count,0.0020541538416254746,0.00045294243977437595,0.002042888504820055,0.0015166615954066351,0.03118650501439948
uppercase_ratio,0.0013553782882851626,0.0,0.0013223269894990656,0.0008925684259280761,0.010826449474490974
email_count,0.00104608326097781,0.0,0.0010473349125731813,0.0006978060578503305,0.009482013145863742
question_count,0.000411892695973455,0.0,0.00041358034861199814,0.00027515768152848436,0.00774016912956172
digit_ratio,0.0004185670478110759,0.0,0.0004023449340395829,0.00027363732728355293,0.1460578579219102
